model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.2532191537321,54.87951193752838,7168.983697891235,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,195.56166394613683,54.85629275859165,7165.2703285217285,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.44017580524087,54.80496003659163,7160.75325012207,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,196.86237908899784,54.85648231023527,7166.614532470703,2
llama2-70b,a100-80gb,512,1,128,1.0000125,0.73599375,197.1440038178116,54.81298010444313,7161.341190338135,2
llama2-70b,h100-80gb,512,1,128,0.0,0.0,85.39954997831956,36.97136075164404,4784.076690673828,2
llama2-70b,h100-80gb,512,1,128,0.0,0.0,83.41073204064742,37.05370054015611,4792.494058609009,2
llama2-70b,h100-80gb,512,1,128,0.0,0.0,83.82702799281105,37.10623496710726,4799.792051315308,2
llama2-70b,h100-80gb,512,1,128,0.0,0.0,82.85058598266914,36.99995853523834,4785.68172454834,2
llama2-70b,h100-80gb,512,1,128,0.0,0.0,83.82929296931252,36.86513585372146,4769.047498703003,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.7452562500000001,415.3701540781185,59.92381385157222,8029.179096221924,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.7452562500000001,416.5262149181217,59.92401746288675,8030.256748199463,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.7452562500000001,416.1732079228386,60.039936373281606,8044.616460800171,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.7452562500000001,416.4925769437105,59.88914730195983,8025.643587112427,2
llama2-70b,a100-80gb,512,2,128,1.0874875,0.7452562500000001,417.6661489764229,59.904440786454856,8028.825521469116,2
llama2-70b,h100-80gb,512,2,128,0.0,0.0,163.268483011052,37.35003822783786,4910.747289657593,2
llama2-70b,h100-80gb,512,2,128,0.0,0.0,156.0822849860415,37.38902856625148,4908.27488899231,2
llama2-70b,h100-80gb,512,2,128,0.0,0.0,154.6062109991908,37.39099838820425,4906.8763256073,2
llama2-70b,h100-80gb,512,2,128,0.0,0.0,154.8119870130904,37.46947349144483,4917.347431182861,2
llama2-70b,h100-80gb,512,2,128,0.0,0.0,155.84483300335705,37.30848177994316,4898.159742355347,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,843.2708500185981,60.6101618274885,8546.058416366577,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,845.3683939296752,60.44554978601752,8526.562452316284,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,844.1643080441281,60.46833658469914,8528.37061882019,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,846.8362090643495,60.62689317962316,8551.056861877441,2
llama2-70b,a100-80gb,512,4,128,1.0268625,0.74095625,847.1239249920473,60.52109976592437,8537.888526916504,2
llama2-70b,h100-80gb,512,4,128,0.0,0.0,299.8408579733223,39.98741007081827,5383.327960968018,2
llama2-70b,h100-80gb,512,4,128,0.0,0.0,300.41850300040096,39.99876027044979,5384.975910186768,2
llama2-70b,h100-80gb,512,4,128,0.0,0.0,299.0648870472796,39.92679352756575,5374.96829032898,2
llama2-70b,h100-80gb,512,4,128,0.0,0.0,298.8708650227636,39.98172925977682,5381.267070770264,2
llama2-70b,h100-80gb,512,4,128,0.0,0.0,299.82047295197845,39.87615845783973,5368.785858154297,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.7616749999999999,1596.8272930476817,61.69249445537296,9439.392566680908,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.7616749999999999,1605.2448559785262,61.74091525067846,9454.072952270508,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.7616749999999999,1616.479019052349,61.72737957246044,9463.507413864136,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.7616749999999999,1572.351736947894,61.56952056472784,9399.28650856018,2
llama2-70b,a100-80gb,512,8,128,1.0727375,0.7616749999999999,1589.3048519501465,61.5057464804515,9408.045291900637,2
llama2-70b,h100-80gb,512,8,128,0.0,0.0,606.0217120102607,40.40494674631563,5744.93670463562,2
llama2-70b,h100-80gb,512,8,128,0.0,0.0,601.7860929714516,40.42805948727361,5743.52765083313,2
llama2-70b,h100-80gb,512,8,128,0.0,0.0,606.79320798954,40.32767092163756,5735.673189163208,2
llama2-70b,h100-80gb,512,8,128,0.0,0.0,605.4212629678659,40.460822473584464,5751.42765045166,2
